date,title,year,rating,rewatch,liked,reviewed,url,reviewUrl,slug,filmUid,lid
2024-10-30,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,4,0,1,0,https://letterboxd.com/nichtlegacy/film/dont-be-a-menace-to-south-central-while-drinking-your-juice-in-the-hood/,,dont-be-a-menace-to-south-central-while-drinking-your-juice-in-the-hood,film:46067,1VQa
2024-10-29,Scary Movie 2,2001,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/scary-movie-2/,,scary-movie-2,film:49442,24Cw
2024-10-29,Scary Movie,2000,3,1,1,0,https://letterboxd.com/nichtlegacy/film/scary-movie-2000/,,scary-movie-2000,film:49443,24CG
2024-10-28,Scream 3,2000,3,0,0,0,https://letterboxd.com/nichtlegacy/film/scream-3/,,scream-3,film:49453,24Ei
2024-10-28,Scream 2,1997,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/scream-2/,,scream-2,film:49454,24Es
2024-10-27,Undisputed,2002,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/undisputed/,,undisputed,film:42620,1MSc
2024-10-25,Scream,1996,4,0,0,0,https://letterboxd.com/nichtlegacy/film/scream/,,scream,film:49455,24EC
2024-10-25,The World's End,2013,3,1,0,0,https://letterboxd.com/nichtlegacy/film/the-worlds-end/1/,,the-worlds-end,film:86991,3EiO
2024-10-24,Hot Fuzz,2007,3.5,1,0,0,https://letterboxd.com/nichtlegacy/film/hot-fuzz/,,hot-fuzz,film:49210,2416
2024-10-23,Road Trip: Beer Pong,2009,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/road-trip-beer-pong/,,road-trip-beer-pong,film:38896,1Dby
2024-10-23,Shaun of the Dead,2004,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/shaun-of-the-dead/,,shaun-of-the-dead,film:51405,29J8
2024-10-22,Road Trip,2000,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/road-trip/,,road-trip,film:47307,1Z4a
2024-10-21,It Chapter Two,2019,3,0,0,0,https://letterboxd.com/nichtlegacy/film/it-chapter-two/,,it-chapter-two,film:405545,h10u
2024-10-20,EuroTrip,2004,4,0,0,0,https://letterboxd.com/nichtlegacy/film/eurotrip/,,eurotrip,film:47243,1YTQ
2024-10-19,Get Smart,2008,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/get-smart/,,get-smart,film:45088,1Tig
2024-10-17,It,2017,3,0,1,0,https://letterboxd.com/nichtlegacy/film/it-2017/,,it-2017,film:276819,bC8e
2024-10-17,The Prestige,2006,4.5,1,1,0,https://letterboxd.com/nichtlegacy/film/the-prestige/1/,,the-prestige,film:51147,293w
2024-10-14,Halloween,2007,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/halloween/,,halloween,film:50543,27u6
2024-10-14,Green Street Hooligans 2,2009,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/green-street-hooligans-2/,,green-street-hooligans-2,film:42085,1LtU
2024-10-14,Four Lions,2010,4,1,0,0,https://letterboxd.com/nichtlegacy/film/four-lions/,,four-lions,film:26991,18do
2024-10-13,Terrifier 2,2022,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/terrifier-2/,,terrifier-2,film:588907,oI10
2024-10-12,Terrifier,2016,2.5,1,0,0,https://letterboxd.com/nichtlegacy/film/terrifier-2016/,,terrifier-2016,film:354251,eRzg
2024-10-12,Logan Lucky,2017,3,0,0,0,https://letterboxd.com/nichtlegacy/film/logan-lucky/,,logan-lucky,film:333445,dZrs
2024-10-10,21,2008,4,1,0,0,https://letterboxd.com/nichtlegacy/film/21/,,21,film:47900,20BO
